,id,sentence1,sentence2,similarity
1,1, ( Grant ) goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it .,( Jenny ) goes beyond her usual fluttering and stammering and captures the soul of a woman in pain who gradually comes to recognize it and deal with it .,0.0
2,2," For a guy who has waited three years with breathless anticipation for a new Hal Hartley movie to pore over , No Such Thing is a big letdown .","For a girl who has waited three years with breathless anticipation for a new Hal Hartley movie to pore over , No Such Thing is a big letdown .

",0.0
3,3, he was one of the young officers who had descended on him at the reich chancellery after he had received the knights cross of the iron cross and the wound badge .,he was one of the young officers who had descended on her at the reich chancellery after she had received the knights cross of the iron cross and the wound badge .,0.0
4,4," he ( dave ) went as luigi , i went as mario , the suitcase guy went as toad , and some random chick from the crowd decided to be the princess peach .","She ( Darla ) went as Luigi , i went as Mario , the suitcase guy went as toad , and some random chick from the crowd decided to be the princess peach .",0.0
5,5, Watching a Brian DePalma movie is like watching an Alfred Hitchcock movie after drinking twelve beers .,Watching a Brian DePalma movie is like watching an Annie Hitchcock movie after drinking twelve beers. ,0.0
6,6," the hammock she was assigned was in the women 's quarters , and she was alarmed to find that this also meant sharing a room with all the prepubescent children the ship was carrying .","The hammock she was assigned was in the men 's quarters , and she was alarmed to find that this also meant sharing a room with all the prepubescent children the ship was carrying .",0.0
7,7," Filmmakers David Weissman and Bill Weber benefit enormously from the Cockettes ' camera craziness -- not only did they film performances , but they did the same at home .","Filmmakers David Weissman and Bill Weber benefit enormously from the Cockettes' camera craziness -- not only did they film performances, but they did the same at home.",0.0
8,8, david put two rounds into the man and kept moving .,David put two rounds into the woman and kept moving.,0.0
9,9," True, it was only yesterday morning that she had parted from Tommy, and she told herself that any anxiety on his behalf would be absurd. She was feeling fine after leaving Tommy today. ","True, it was only yesterday morning that she had parted from Tina, and she told herself that any anxiety on her behalf would be absurd. She was feeling fine after leaving Tina today.",0.0
10,10," karen watched as he released it and saw the seed remain supported within the light , floating buoyant within it , bobbing and warbling against its energy .","karen watched as she released it and saw the seed remain supported within the light, floating buoyant within it, bobbing and warbling against its energy.",0.0
11,11," anna was ahead by three yards , they had been even at the start of the straight stretch , but now she was pulling away handily .","anna was ahead by three yards , they had been even at the start of the straight stretch , but now he was pulling away handily .",0.0
12,12,  Gabriel looked out of the window and Adrin saw real remorse in the small man's eyes. Gabriel looked at his book.,Gabriel looked out of the window and Adria saw real remorse in the small man's eyes. Gabriel looked at her book.,0.0
13,13, Barney throws away the goodwill the first half of his movie generates by orchestrating a finale that is impenetrable and dull .,Sarah throws away the goodwill the first half of her movie generates by orchestrating a finale that is impenetrable and dull.,0.0
14,14, The Ottoman Sultan agreed to his request and he set about establishing his power base. The Ottoman Sultan could not agree to the request.,"The Ottoman Sultan agreed to his request and he set about establishing his power base . The Opal Sultan could not agree to the request .

",0.0
15,15, A very urgent message arrived from Mrs. Vandemeyer. Mrs. Vandemeyer has conveyed an important missive. ,A very urgent message arrived from Mr. Robert. Mr. Robert has conveyed an important missive.,0.0
16,16, She shot me in the leg. I dodged the shot.,He shot me in the leg. I dodged the shot.,0.0
17,17," For all the charm of Kevin Kline and a story that puts old-fashioned values under the microscope , there 's something creepy about this movie .","For all the charm of Kelly Kline and a story that puts old-fashioned values under the microscope , there's something creepy about this movie.",0.0
18,18," allisons question knocked ernest off his stride as he paced back and forth in the kitchen area , separated from the living room only by a long breakfast bar .","Allison's question knocked Elizabeth off her stride as she paced back and forth in the kitchen area, separated from the living room only by a long breakfast bar.",0.0
19,19," hes a killer , john meacham said , splaying the fingers of his big , rugged hands on the table .","She's a killer, John Meacham said, splaying the fingers of his big, rugged hands on the table.

",0.0
20,20, he bent forward and put the glass to his eye .,She bent forward and put the glass to her eye.,0.0
21,21, she bent over to kiss her friends cheek before sliding in next to her .,She bent over to kiss his friends cheek before sliding in next to her.,0.0
22,22," His technique is too methodical and slow, she said. She stated John's technique of playing cars was too slow.","His technique is too methodical and slow , he said . She stated John 's technique of playing cars was too slow .

",0.0
23,23," In a big corner office in Hell , Satan is throwing up his hands in surrender , is firing his R&D people , and has decided he will just screen The Master of Disguise 24\/7 .","in a big corner office in hell , Satan is throwing up his hands in surrender , is firing his R&D propel , and has decided she will just screen the master of disguise 24\/7.",0.0
24,24," the barmaid from the stags bells stepped forward , kneeling by the stretcher so she could slide it under when they lifted the large mans body from the road .","the barman from the Stags Bells stepped forward , kneeling by the stretcher so he could slide it under when they lifted the large man's body from the road .",0.0
25,25," When at length they turned into it, proceeding in an easterly direction, Tommy 50 slightly increased his pace. Tommy 50 slowed his pace down.","When at length they turned into it, proceeding in an easterly direction, Hermione 50 slightly increased her pace. Hermione 50 slowed her pace down.",0.0
